# Copyright 2023 DeepMind Technologies Limited
#
# Licensed under CC BY-NC-SA 4.0 license
transcript_id	mean_am_pathogenicity
ENST00000000233.5	0.7422697635438503
ENST00000000412.3	0.37834258163288265
ENST00000001008.4	0.4222901115567318
ENST00000001146.2	0.4666058543393151
ENST00000002125.4	0.3514798061819767
ENST00000002165.6	0.4063997476531859
ENST00000002501.6	0.3198188417073422
ENST00000002596.5	0.4706841287956764
ENST00000002829.3	0.5236270394665941
ENST00000003084.6	0.4048312602019882
ENST00000003302.4	0.4198028998034592
ENST00000004103.3	0.26359528895945644
ENST00000004921.3	0.28148547136841995
ENST00000004982.3	0.4781152239734146
ENST00000005178.5	0.4996589138329927
ENST00000005257.2	0.6864497012384478
ENST00000005260.8	0.3766981396532687
ENST00000005284.3	0.4879757043643123
ENST00000005340.5	0.4992734022278011
ENST00000005386.3	0.3410025379916116
ENST00000005756.4	0.4816781157067499
ENST00000005995.3	0.4507407604723886
ENST00000006015.3	0.5260622703497936
ENST00000006053.6	0.2494662548779609
ENST00000006750.3	0.4254877119725113
ENST00000006777.6	0.3798701145899204
ENST00000007264.2	0.40524388708482734
ENST00000007390.2	0.35866157515399355
ENST00000007510.4	0.404968613961367
ENST00000007699.5	0.3287660295609639
ENST00000007735.3	0.3651657296291057
ENST00000008391.3	0.536534084941961
ENST00000008527.5	0.5981145890085302
ENST00000008938.4	0.41405114673712107
ENST00000009180.4	0.5959616973986107
ENST00000009530.7	0.3360176143271397
ENST00000010132.5	0.3637525204291217
ENST00000011292.3	0.4163111702320375
ENST00000011473.2	0.4875353657240124
ENST00000011619.3	0.5640645748316315
ENST00000011653.4	0.2962652582732719
ENST00000011691.4	0.5047065444237414
ENST00000011898.5	0.5096727598486304
ENST00000012049.5	0.3479700457353447
ENST00000012134.2	0.35457167162087266
ENST00000012443.4	0.5720517218460119
ENST00000013070.6	0.4352276817093357
ENST00000013125.4	0.5960218087899821
ENST00000013222.5	0.3737751621685779
ENST00000014914.5	0.33551793513288
ENST00000014930.4	0.41266380446570977
ENST00000016171.5	0.4580816463112792
ENST00000016913.4	0.2630892366109965
ENST00000017003.2	0.4557700950998236
ENST00000019103.5	0.3801273311919473
